Distance Between Stations (km),Weather Conditions,Day of the Week,Time of Day,Train Type,Historical Delay (min),Route Congestion
820,Rainy,Wednesday,Evening,Express,1005,High
845,Foggy,Thursday,Night,Superfast,1010,Low
825,Clear,Friday,Morning,Local,1015,Medium
850,Rainy,Saturday,Afternoon,Express,1020,High
830,Foggy,Sunday,Evening,Superfast,1025,Low
855,Clear,Monday,Night,Local,1030,Medium
835,Rainy,Tuesday,Morning,Express,1035,High
860,Foggy,Wednesday,Afternoon,Superfast,1040,Low
840,Clear,Thursday,Evening,Local,1045,Medium
865,Rainy,Friday,Night,Express,1050,High
845,Foggy,Saturday,Morning,Superfast,1055,Low
870,Clear,Sunday,Afternoon,Local,1060,Medium
850,Rainy,Monday,Evening,Express,1065,High
875,Foggy,Tuesday,Night,Superfast,1070,Low
855,Clear,Wednesday,Morning,Local,1075,Medium
880,Rainy,Thursday,Afternoon,Express,1080,High
860,Foggy,Friday,Evening,Superfast,1085,Low
885,Clear,Saturday,Night,Local,1090,Medium
865,Rainy,Sunday,Morning,Express,1095,High
890,Foggy,Monday,Afternoon,Superfast,1100,Low
870,Clear,Tuesday,Evening,Local,1105,Medium
895,Rainy,Wednesday,Night,Express,1110,High
875,Foggy,Thursday,Morning,Superfast,1115,Low
900,Clear,Friday,Afternoon,Local,1120,Medium
880,Rainy,Saturday,Evening,Express,1125,High
905,Foggy,Sunday,Night,Superfast,1130,Low
885,Clear,Monday,Morning,Local,1135,Medium
910,Rainy,Tuesday,Afternoon,Express,1140,High
890,Foggy,Wednesday,Evening,Superfast,1145,Low
915,Clear,Thursday,Night,Local,1150,Medium
895,Rainy,Friday,Morning,Express,1155,High
920,Foggy,Saturday,Afternoon,Superfast,1160,Low
900,Clear,Sunday,Evening,Local,1165,Medium
925,Rainy,Monday,Night,Express,1170,High
905,Foggy,Tuesday,Morning,Superfast,1175,Low
930,Clear,Wednesday,Afternoon,Local,1180,Medium
910,Rainy,Thursday,Evening,Express,1185,High
935,Foggy,Friday,Night,Superfast,1190,Low
915,Clear,Saturday,Morning,Local,1195,Medium
940,Rainy,Sunday,Afternoon,Express,1200,High
920,Foggy,Monday,Evening,Superfast,1205,Low
945,Clear,Tuesday,Night,Local,1210,Medium
925,Rainy,Wednesday,Morning,Express,1215,High
950,Foggy,Thursday,Afternoon,Superfast,1220,Low
930,Clear,Friday,Evening,Local,1225,Medium
955,Rainy,Saturday,Night,Express,1230,High
